id,categoria,familia,especie,nombre_comun,genero,specific_epithet,tag,infraespecie,forma,scientific_name,author
115,EN PELIGRO CRITICO (CR),SOLANACEAE,Solanum tarapotense Van Heurck & Müll. Arg.,NA,Solanum,tarapotense,NA,NA,NA,Solanum tarapotense,Van Heurck & Müll. Arg.
116,EN PELIGRO CRITICO (CR),SOLANACEAE,Solanum trinitense Ochoa,NA,Solanum,trinitense,NA,NA,NA,Solanum trinitense,Ochoa
117,EN PELIGRO CRITICO (CR),TILIACEAE,Lueheopsis duckeana Burret,NA,Lueheopsis,duckeana,NA,NA,NA,Lueheopsis duckeana,Burret
118,EN PELIGRO CRITICO (CR),ULMACEAE,Celtis iguanaea (Jacq) Sarq.,NA,Celtis,iguanaea,NA,NA,NA,Celtis iguanaea,(Jacq) Sarq.
119,EN PELIGRO CRITICO (CR),VALERIANACEAE,Stangea wandae Graebn,NA,Stangea,wandae,NA,NA,NA,Stangea wandae,Graebn
120,EN PELIGRO CRITICO (CR),VALERIANACEAE,Valeriana cumbemayensis Eriksen,NA,Valeriana,cumbemayensis,NA,NA,NA,Valeriana cumbemayensis,Eriksen
121,EN PELIGRO CRITICO (CR),VALERIANACEAE,Valeriana longifolia Kunth,NA,Valeriana,longifolia,NA,NA,NA,Valeriana longifolia,Kunth
1,EN PELIGRO (EN),ARECACEAE,Manicaria saccifera Gaertn.,yarinilla,Manicaria,saccifera,NA,NA,NA,Manicaria saccifera,Gaertn.
2,EN PELIGRO (EN),BEGONIACEAE,Begonia octopetala subsp. ovatoformis Irmscher,"achanqaray, begonia",Begonia,octopetala,subsp.,ovatoformis,NA,Begonia octopetala subsp. ovatoformis,Irmscher
3,EN PELIGRO (EN),BEGONIACEAE,Begonia veitchii Hooker.f.,"achanqaray, begonia",Begonia,veitchii,NA,NA,NA,Begonia veitchii,Hooker.f.
4,EN PELIGRO (EN),BIGNONACEAE,Tabebuia impetiginosa (Mart. ex DC.) Standl.,guayacán,Tabebuia,impetiginosa,NA,NA,NA,Tabebuia impetiginosa,(Mart. ex DC.) Standl.
5,EN PELIGRO (EN),BIXACEAE,Cochlospermum vitifolium (Willd.) Spreng.,Polo-polo,Cochlospermum,vitifolium,NA,NA,NA,Cochlospermum vitifolium,(Willd.) Spreng.
6,EN PELIGRO (EN),BORAGINACEAE,Tiquilia ferreyrae (I. M. Johnston) A. Richardson.,Flor de arena,Tiquilia,ferreyrae,NA,NA,NA,Tiquilia ferreyrae,(I. M. Johnston) A. Richardson.
7,EN PELIGRO (EN),BROMELIACEAE,Puya raimondii Harms,"ckara, cunco, junco, llacuash, santón, tica-tica, titanca, q´ayara",Puya,raimondii,NA,NA,NA,Puya raimondii,Harms
8,EN PELIGRO (EN),BROMELIACEAE,Tillandsia sagasteguii L.B. Sm.,NA,Tillandsia,sagasteguii,NA,NA,NA,Tillandsia sagasteguii,L.B. Sm.
9,EN PELIGRO (EN),BROMELIACEAE,Tillandsia werdermannii Harms,NA,Tillandsia,werdermannii,NA,NA,NA,Tillandsia werdermannii,Harms
10,EN PELIGRO (EN),BUXACEAE,Styloceras columnare Muell.Arg.,Limoncillo,Styloceras,columnare,NA,NA,NA,Styloceras columnare,Muell.Arg.
11,EN PELIGRO (EN),BUXACEAE,Styloceras laurifolium (Willd.) Kunth,"curape, limoncito de cachos, naranjillo,sapanque",Styloceras,laurifolium,NA,NA,NA,Styloceras laurifolium,(Willd.) Kunth
12,EN PELIGRO (EN),FABACEAE,Prosopis chilensis (Molina) Stuntz,"Algarrobo, huarango, tacco",Prosopis,chilensis,NA,NA,NA,Prosopis chilensis,(Molina) Stuntz
13,EN PELIGRO (EN),FABACEAE,Prosopis juliflora (Sw.) DC.,"Algarrobo, huarango",Prosopis,juliflora,NA,NA,NA,Prosopis juliflora,(Sw.) DC.
14,EN PELIGRO (EN),GERANIACEAE,Geranium ayavacense Willd. Ex Kunth,NA,Geranium,ayavacense,NA,NA,NA,Geranium ayavacense,Willd. Ex Kunth
15,EN PELIGRO (EN),GERANIACEAE,Geranium dielsianum Knuth,"pasuchaca, pasochaca",Geranium,dielsianum,NA,NA,NA,Geranium dielsianum,Knuth
16,EN PELIGRO (EN),KRAMERIACEAE,Krameria lappacea (Dombey) Burdet & B.B. Simpson,"antacushma,mapato,malapato,ractania,rataña,ratania,sanyo,chuquitanga",Krameria,lappacea,NA,NA,NA,Krameria lappacea,(Dombey) Burdet & B.B. Simpson
17,EN PELIGRO (EN),MALVACEAE,Abutilon arequipense Ulbrich,NA,Abutilon,arequipense,NA,NA,NA,Abutilon arequipense,Ulbrich
18,EN PELIGRO (EN),MALVACEAE,Abutilon peruvianum (Lam.) Kearney,NA,Abutilon,peruvianum,NA,NA,NA,Abutilon peruvianum,(Lam.) Kearney
19,EN PELIGRO (EN),MALVACEAE,Acaulimalva alismatifolia (Schumann & Hieronymus) Krapovickas,NA,Acaulimalva,alismatifolia,NA,NA,NA,Acaulimalva alismatifolia,(Schumann & Hieronymus) Krapovickas
20,EN PELIGRO (EN),MALVACEAE,Acaulimalva sulphurea Krapov.,NA,Acaulimalva,sulphurea,NA,NA,NA,Acaulimalva sulphurea,Krapov.
21,EN PELIGRO (EN),MALVACEAE,Cienfuegosia hitchcockii (Ulbr.) O.J. Blanch.,NA,Cienfuegosia,hitchcockii,NA,NA,NA,Cienfuegosia hitchcockii,(Ulbr.) O.J. Blanch.
22,EN PELIGRO (EN),MALVACEAE,Gaya atiquipana Krapov.,NA,Gaya,atiquipana,NA,NA,NA,Gaya atiquipana,Krapov.
23,EN PELIGRO (EN),MALVACEAE,Nototriche pseudo-pichinchensis Hochr.,NA,Nototriche,pseudo-pichinchensis,NA,NA,NA,Nototriche pseudo-pichinchensis,Hochr.
24,EN PELIGRO (EN),MALVACEAE,Nototriche salina Burtt & Hill,NA,Nototriche,salina,NA,NA,NA,Nototriche salina,Burtt & Hill
25,EN PELIGRO (EN),MALVACEAE,Nototriche tovari Krapovickas,NA,Nototriche,tovari,NA,NA,NA,Nototriche tovari,Krapovickas
